location_id,review_text,sentiment
29,"Incredibly romantic restaurant. Perfect for a special occasion. The decor is stunning.",
32,"A beautiful and luxurious store, but everything is incredibly expensive. More of a museum than a shop.",
32,"The food hall is a sight to behold. So many amazing and rare products.",
33,"It's just a street with all the same high street shops you can find anywhere. Too crowded.",
34,"Lovely market with great street performers. Can get very busy but has a great vibe.",
36,"The shoe department is heaven. A fantastic selection of designer goods.",
38,"A vibrant and trendy area with lots of unique shops. Much better than Oxford Street.",
41,"Great selection of street food. A bit chaotic but lots of tasty options.",
42,"Hyde Park is the perfect place to escape the city buzz. Great for a long walk or a picnic.",
42,"A huge and beautiful park. You can rent a boat on the Serpentine, which is lovely.",
43,"The boating lake is a highlight. A very peaceful and well-maintained park.",
44,"Beautiful park with amazing views of Buckingham Palace. The pelicans are a fun surprise.",
45,"The Italian Gardens are a hidden gem. A lovely, quiet part of the park.",
46,"Feels like you've left the city entirely. The views of the London skyline are spectacular.",
49,"The best view of the London skyline, and it's free! Perfect for a sunset picnic.",
51,"So many deer! It's amazing to see so much wildlife so close to the city.",
52,"The Royal Observatory is fascinating, and the park has a great view back across to Canary Wharf.",
53,"Fabric is legendary. The sound system is one of the best in the world. Incredible night out.",
53,"The music was too intense for me and it was way too crowded. Not my scene.",
54,"The drinks are overpriced and the crowd was a bit much. Not the vibe I was hoping for.",
54,"A classic clubbing experience. If you like house music, this is the place to be.",
57,"Great music and a cool venue. One of the better nights out in Shoreditch.",
58,"The sheer scale of this venue is incredible. A unique and immersive experience.",
61,"Great live music venue with a good atmosphere. Always a good night.",
62,"The best jazz club in London. Expensive, but worth it for the quality of the musicians.",
62,"Very cramped and you're packed in like sardines. The music is good, but it's uncomfortable.",
63,"A fantastic collection of British art. More manageable and less crowded than the National Gallery.",
64,"Always has interesting and provocative exhibitions. A great space for contemporary art.",
65,"The summer exhibition is a highlight of the London art calendar. A must-see.",
68,"A vibrant and bustling market with lots of unique stalls. Great for alternative fashion.",
68,"It's become too much of a tourist trap. The quality of the stalls has gone down.",
69,"A great place to hunt for antiques and unique finds. Best to go on a Friday or Saturday.",
70,"A cool mix of old and new. The market has great food stalls and independent shops.",
71,"A beautiful and fragrant market on a Sunday. Go early to avoid the crowds.",
72,"A stunningly beautiful Victorian market. Worth visiting just for the architecture.",
77,"A beautifully restored ship. The tour is very informative and brings the history to life.",
78,"Standing on the Prime Meridian is a classic photo op. The history of timekeeping is fascinating.",
78,"The climb up the hill is quite steep, be prepared!",
79,"A huge collection of maritime history. Very well presented and interesting.",
80,"Exploring a real warship is a great experience. Lots of ladders and tight spaces!",
81,"A very moving and thought-provoking museum. The Holocaust exhibition is harrowing but important.",
82,"The London Eye gives you a great perspective of the city, but it's a very slow ride for the price.",
82,"The queues are insane and the tickets are so expensive. A bit of a rip-off.",
83,"Great for kids, but the tanks seem a bit small for some of the larger animals.",
84,"The wax figures are incredibly lifelike. A fun and silly tourist attraction.",
84,"Overpriced and full of screaming children. Not an enjoyable experience for adults.",
85,"More cheesy than scary. A bit of a let-down if you're expecting real horror.",
87,"A world-class stadium. The atmosphere on match day is electric.",
88,"A great venue for concerts. The sound is good and there are lots of food and drink options.",
88,"Getting home after a big event is a nightmare. The tube station is chaos.",
90,"A unique and intimate venue for live music. Not a bad seat in the house.",
91,"Cool venue with a long history. A bit grimy but that's part of its charm.",
92,"Always puts on high-quality productions. A great theatre with a rich history.",
93,"The home of contemporary dance in London. Always has something interesting and innovative on.",
94,"A stunning venue for ballet and opera. A truly special experience.",
94,"The ticket prices are astronomical. Inaccessible for most people.",
96,"The open-air theatre creates an incredible atmosphere. A very special place to see Shakespeare.",
97,"The home of tennis. The museum is fascinating even if you're not a huge fan of the sport.",
103,"A beautiful and vast botanical garden. The glasshouses are spectacular.",
103,"You need a full day to even scratch the surface. It's huge!",
104,"A magnificent palace with incredible gardens. The maze is great fun.",
105,"It's a real, working castle! A fascinating piece of history and still used by the royals.",
1,"The sheer volume of artifacts is overwhelming. It's impossible to see everything in one visit.",
2,"The view from the top floor cafe is worth the visit alone. Great coffee and amazing views.",
4,"A stunning building, both inside and out. The main hall is breathtaking.",
7,"I learned so much on the tour. The history of the Tower is fascinating and gruesome!",
12,"An iconic landmark. Beautiful to see at night when it's all lit up.",
17,"The doughnuts from Bread Ahead are a must-try. The best I've ever had.",
18,"The cocktails are just as good as the food. A great place for a full evening out.",
20,"Simple food done perfectly. The cacio e pepe is life-changing.",
23,"Going for breakfast at sunrise is an unforgettable experience. A unique dining spot.",
29,"The fairy-tale decor makes you feel like you're in another world. So romantic.",
32,"The toy department at Christmas is magical. A dream for any child.",
33,"Just endless crowds and the same shops you see everywhere. A stressful experience.",
34,"I love the craft stalls and the general buzz of the place. Great for people-watching.",
38,"A great place to find unique gifts and independent brands. A breath of fresh air.",
41,"The cheese bar is amazing. So many delicious options.",
42,"A great place for a run. The paths are well-maintained and it's beautiful.",
44,"It's so peaceful and quiet, it's hard to believe you're in the middle of London.",
46,"The swimming ponds are a unique London experience. Very cold but invigorating!",
49,"A short, steep walk to the top but the view is absolutely worth it.",
51,"Renting a bike is the best way to see the park. You can cover so much ground.",
52,"The history of the Prime Meridian is fascinating. A great educational day out.",
53,"The bass will rattle your bones. If you're serious about electronic music, this is the place.",
54,"A rite of passage for any clubber. An iconic brand and a great night out.",
57,"The lighting and sound system are top-notch. A really cool club.",
62,"An intimate setting for world-class jazz. A special place.",
68,"The food market at the back is the best part. So many amazing street food options.",
69,"You can find some real bargains if you're willing to hunt. A fun way to spend a Saturday.",
70,"I love the mix of boutique shops and food stalls. A great place to wander around.",
71,"The smell of the flowers is amazing. A beautiful, vibrant market.",
77,"It's amazing to think this ship sailed all the way to China and back. A great piece of history.",
80,"The interactive displays really bring the history of the ship to life. Great for all ages.",
81,"A powerful and important museum. It doesn't shy away from the harsh realities of war.",
82,"A tourist trap, but you can't deny the views are spectacular. Best to go at sunset.",
84,"It's silly fun. Great for taking funny photos with celebrities.",
87,"The tour gives you a great behind-the-scenes look at the stadium. A must for any football fan.",
88,"Even the cheaper seats have a decent view. A well-designed arena.",
90,"The circular shape means the atmosphere is always great. A fantastic venue.",
94,"An opulent and grand building. Seeing a performance here feels like a real event.",
96,"The groundling tickets are a bargain if you don't mind standing. A very authentic experience.",
103,"The Treetop Walkway is a highlight, offering a unique perspective of the gardens.",
104,"The history is fascinating, especially the stories about Henry VIII. A great day trip.",
105,"The scale of the castle is incredible. A full day is needed to see it all.",
